player,category,score,confidence,source,note
"Jahmyr Gibbs","opportunity","+1.6","0.86","https://www.nfl.com/stats/player-stats/category/rushing/2025/reg/all/rushingyards/desc","Fact: 243 carries, 1223 rush yards, 13 rush TD in 2025; inference: clear dual-use lead role."
"Jahmyr Gibbs","defensiveAttention","+0.3","0.72","https://sumersports.com/players/running-back/","Fact: 7.25 average box defenders and 17.09% target share in 2025; inference: Lions receiving threats keep defensive attention manageable."
"Jahmyr Gibbs","skillFit","+1.6","0.88","https://sumersports.com/players/running-back/","Fact: 5.03 YPC, 8.64% explosive rush rate, 77 catches, 616 receiving yards, 5 receiving TD; inference: elite open-field and pass-game fit."
"Jahmyr Gibbs","environment","+1.2","0.78","https://www.ourlads.com/nfldepthcharts/depthchart/DET","Fact: Ourlads 07/31/2026 lists Jared Goff, Amon-Ra St. Brown, Jameson Williams, Sam LaPorta, and Penei Sewell with Gibbs; inference: strong offensive ecosystem."
"Jahmyr Gibbs","risk","-0.6","0.72","https://www.espn.com/nfl/story/_/id/49419620/detroit-lions-training-camp-2026-intel-updates","Fact: ESPN camp update reports Gibbs missed a second straight practice amid an apparent contract hold-in; inference: near-term availability/contract friction risk."
"Puka Nacua","opportunity","2","0.95","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 166 targets, 129 catches, 1715 yards, 10 TD; inference: elite volume floor."
"Puka Nacua","defensiveAttention","0.5","0.65","https://www.therams.com/team/depth-chart","Fact: Rams depth chart lists Davante Adams and Puka Nacua as starting WRs with Matthew Stafford; inference: Adams helps, but Puka still draws WR1 attention."
"Puka Nacua","skillFit","2","0.9","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 90 overall, 84 open, 85 catch, 53 YAC; inference: elite receiver fit."
"Puka Nacua","environment","1.5","0.85","https://www.therams.com/news/10-observations-from-day-2-of-2026-rams-training-camp-matthew-stafford-puka-nacua-davante-adams-trent-mcduffie-cam-lampkin","Fact: official camp report notes Stafford completions to Nacua and Adams; inference: stable high-end passing setup."
"Puka Nacua","risk","-1","0.75","https://www.nfl.com/news/puka-nacua-never-considered-contract-holdout-rebuilds-reputation-rams","Fact: NFL/AP reports no contract holdout but notes reputation/personal-conduct uncertainty; inference: meaningful non-injury risk partly offset by full camp participation."
"Bijan Robinson","opportunity","+2.0","0.90","https://www.atlantafalcons.com/news/falcons-2026-training-camp-preview-running-backs","Fact: Falcons report 2298 scrimmage yards in 2025 and at least 365 touches in each of last two seasons; Tyler Allgeier departed; inference: elite workload remains likely."
"Bijan Robinson","defensiveAttention","+0.2","0.68","https://sumersports.com/players/running-back/","Fact: 7.11 average box defenders and 19.85% target share in 2025; inference: attention was manageable, but QB uncertainty keeps this only slightly positive."
"Bijan Robinson","skillFit","+1.8","0.90","https://sumersports.com/players/running-back/","Fact: 5.15 YPC, 1091 yards after contact, 79 catches, 820 receiving yards, 4 receiving TD; inference: elite all-phase RB profile."
"Bijan Robinson","environment","+0.3","0.70","https://www.atlantafalcons.com/news/falcons-training-camp-report-michael-penix-jr-limited-practice","Fact: Falcons report Penix not fully cleared and Tua missing early camp; inference: scheme may help, QB instability limits environment score."
"Bijan Robinson","risk","-0.5","0.65","https://www.atlantafalcons.com/news/falcons-2026-training-camp-preview-running-backs","Fact: Falcons note Brian Robinson Jr. could get short-yardage and goal-line work; inference: TD-share risk."
"Ja'Marr Chase","opportunity","2","0.95","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had NFL-high 185 targets, 125 catches, 1412 yards, 8 TD; inference: strongest target-volume signal in set."
"Ja'Marr Chase","defensiveAttention","0.5","0.7","https://www.espn.com/nfl/team/depth/_/name/cin","Fact: ESPN depth chart lists Chase and Tee Higgins as starting WRs; inference: Higgins reduces pure bracket risk, but Chase remains the defensive focal point."
"Ja'Marr Chase","skillFit","1.5","0.85","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 73 overall, 73 open, 63 catch, 56 YAC; inference: strong but not perfect route/finish profile."
"Ja'Marr Chase","environment","1","0.75","https://www.espn.com/nfl/story/_/id/49097938/2026-cincinnati-bengals-training-camp-preview","Fact: ESPN camp projection keeps Joe Burrow with Chase and Higgins; inference: elite QB/WR continuity, tempered by Burrow's 2025 missed time."
"Ja'Marr Chase","risk","-0.5","0.65","https://www.nfl.com/news/nfl-suspends-bengals-wr-jamarr-chase-one-game-incident-jalen-ramsey-steelers","Fact: NFL suspended Chase one game in 2025; 2026 camp scuffle reported separately; inference: mild behavioral recurrence risk, not a health flag."
"Christian McCaffrey","opportunity","+1.8","0.88","https://sumersports.com/players/running-back/","Fact: 311 rushes, 102 receptions, 23.45% target share in 2025; inference: massive touch role remains."
"Christian McCaffrey","defensiveAttention","+0.4","0.73","https://www.ourlads.com/nfldepthcharts/depthchart/SF","Fact: Ourlads lists Purdy, Mike Evans, George Kittle, and Trent Williams with McCaffrey; inference: strong pass-game pieces mitigate sell-out attention."
"Christian McCaffrey","skillFit","+1.2","0.78","https://www.49ers.com/news/day-1-of-49ers-camp-2026-standouts-injury-updates-new-looks","Fact: 49ers camp report noted strong runs and receptions; fact also includes 2025 pass-game volume; inference: receiving fit remains elite despite rushing efficiency concerns."
"Christian McCaffrey","environment","+1.0","0.78","https://www.ourlads.com/nfldepthcharts/depthchart/SF","Fact: Ourlads 07/31/2026 lists Purdy, Kittle, Juszczyk, Trent Williams, and McCaffrey; inference: Shanahan-style ecosystem remains favorable."
"Christian McCaffrey","risk","-1.0","0.82","https://www.nfl.com/news/top-15-running-backs-entering-final-stretch-of-2025-nfl-season","Fact: year-9 age context and 413 regular-season touches; inference: age-plus-workload durability/decline risk is meaningful entering age-30 season."
"Amon-Ra St. Brown","opportunity","2","0.95","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 172 targets, 117 catches, 1401 yards, 11 TD across 17 starts; inference: elite stable volume."
"Amon-Ra St. Brown","defensiveAttention","1","0.75","https://www.detroitlions.com/team/players-roster/jameson-williams/","Fact: Lions bio says Jameson Williams ranked ninth in 2025 receiving yards and third in receiving average; inference: real vertical counterweight helps St. Brown."
